age,educ,sex,degree,satjob,satjob2,income4,rincom91,hrs1,wrkstat,jobinc,impjob,bothft,husbft,husbhr,wifeft,wifehr,id,agecat4
43,11,1,1,2,2,3,17,35,1,3,2,0,#NULL!,#NULL!,#NULL!,#NULL!,1,3
44,16,1,3,4,2,3,18,21,1,1,2,0,#NULL!,#NULL!,#NULL!,#NULL!,2,3
43,16,2,3,1,1,3,18,45,1,2,1,0,#NULL!,#NULL!,#NULL!,#NULL!,3,3
55,12,2,1,1,1,3,15,35,1,1,2,1,1,40,1,35,4,4
31,18,1,4,1,1,4,20,50,1,2,2,0,#NULL!,#NULL!,#NULL!,#NULL!,5,2
29,18,2,4,2,2,2,16,35,1,0,1,0,#NULL!,#NULL!,#NULL!,#NULL!,6,1
23,15,2,1,2,2,3,3,60,1,1,1,0,#NULL!,#NULL!,#NULL!,#NULL!,7,1
61,12,2,1,2,2,1,8,40,1,0,1,1,1,40,1,40,8,4
36,14,2,1,3,2,1,10,37,1,0,2,0,#NULL!,#NULL!,#NULL!,#NULL!,9,2
55,15,1,1,2,2,4,22,40,1,0,1,0,1,#NULL!,0,#NULL!,10,4
55,16,2,3,3,2,4,14,38,1,3,2,1,1,40,1,38,11,4
34,16,1,3,2,2,4,21,55,1,0,2,0,1,#NULL!,0,#NULL!,12,2
32,16,1,3,2,2,2,11,32,1,0,2,0,#NULL!,#NULL!,#NULL!,#NULL!,13,2
49,16,2,3,2,2,2,15,80,1,0,1,1,1,80,1,80,14,3
45,16,2,3,2,2,4,20,50,1,4,2,0,#NULL!,#NULL!,#NULL!,#NULL!,15,3
36,18,2,3,2,2,2,9,40,1,2,2,0,#NULL!,#NULL!,#NULL!,#NULL!,16,2
29,16,1,4,2,2,3,19,50,1,3,2,0,#NULL!,#NULL!,#NULL!,#NULL!,17,1
30,14,2,2,2,2,2,16,40,1,2,4,0,#NULL!,#NULL!,#NULL!,#NULL!,18,2
40,16,2,3,3,2,2,16,60,1,3,1,0,#NULL!,#NULL!,#NULL!,#NULL!,19,3
26,11,2,0,2,2,2,11,35,1,0,2,0,#NULL!,#NULL!,#NULL!,#NULL!,20,1
63,12,2,1,3,2,1,9,40,1,2,2,0,#NULL!,#NULL!,#NULL!,#NULL!,21,4
33,14,2,1,1,1,4,17,40,1,1,1,0,#NULL!,#NULL!,#NULL!,#NULL!,22,2
34,12,1,1,2,2,2,12,40,1,1,2,1,1,40,1,40,23,2
61,16,2,3,1,1,2,13,89,1,2,1,0,0,#NULL!,1,#NULL!,24,4
45,13,2,1,1,1,4,20,40,1,3,2,0,#NULL!,#NULL!,#NULL!,#NULL!,25,3
31,14,1,1,1,1,3,18,60,1,2,2,0,#NULL!,#NULL!,#NULL!,#NULL!,26,2
28,18,1,4,2,2,2,17,40,1,1,1,0,1,#NULL!,0,#NULL!,27,1
34,18,2,4,2,2,3,18,40,1,3,2,0,#NULL!,#NULL!,#NULL!,#NULL!,28,2
45,13,2,1,1,1,3,18,20,1,4,2,0,#NULL!,#NULL!,#NULL!,#NULL!,29,3
35,16,2,3,1,1,3,19,40,1,0,3,0,#NULL!,#NULL!,#NULL!,#NULL!,30,2
48,16,1,3,1,1,3,19,20,1,2,2,0,#NULL!,#NULL!,#NULL!,#NULL!,31,3
39,19,1,4,2,2,3,16,40,1,4,1,0,#NULL!,#NULL!,#NULL!,#NULL!,32,2
27,15,2,1,3,2,1,4,62,1,1,2,1,1,65,1,62,33,1
36,12,1,1,2,2,1,6,20,1,2,2,0,#NULL!,#NULL!,#NULL!,#NULL!,34,2
42,12,2,1,1,1,2,16,50,1,2,1,0,#NULL!,#NULL!,#NULL!,#NULL!,35,3
31,16,2,3,2,2,2,11,40,1,2,2,0,0,#NULL!,1,#NULL!,36,2
44,16,2,3,2,2,3,13,40,1,0,1,0,#NULL!,#NULL!,#NULL!,#NULL!,37,3
39,12,1,1,2,2,3,13,40,1,2,1,1,1,40,1,40,38,2
39,15,2,1,1,1,4,17,50,1,0,1,1,1,50,1,50,39,2
45,14,1,1,2,2,4,17,22,1,2,1,1,1,22,1,45,40,3
46,20,1,4,2,2,4,21,50,1,4,1,1,1,50,1,40,41,3
23,16,2,3,2,2,4,15,60,1,3,1,0,#NULL!,#NULL!,#NULL!,#NULL!,42,1
27,13,1,1,1,1,3,17,55,1,3,1,0,#NULL!,#NULL!,#NULL!,#NULL!,43,1
23,16,2,3,3,2,2,4,35,1,4,2,0,#NULL!,#NULL!,#NULL!,#NULL!,44,1
31,16,1,3,1,1,2,14,56,1,3,1,0,1,56,0,24,45,2
29,14,2,2,2,2,1,12,40,1,0,3,0,0,#NULL!,1,#NULL!,46,1
35,16,1,3,1,1,4,16,50,1,0,3,1,1,50,1,50,47,2
36,14,1,1,2,2,3,18,54,1,2,2,1,1,54,1,32,48,2
41,12,1,1,2,2,2,17,32,1,0,3,0,1,#NULL!,0,#NULL!,49,3
62,18,2,3,2,2,1,12,55,1,1,2,0,#NULL!,#NULL!,#NULL!,#NULL!,50,4
44,12,1,1,2,2,4,21,55,1,0,1,0,1,55,0,20,51,3
49,15,1,1,2,2,3,18,50,1,2,2,0,1,50,0,17,52,3
62,12,2,1,2,2,2,15,38,1,2,3,0,#NULL!,#NULL!,#NULL!,#NULL!,53,4
45,18,1,4,2,2,4,21,50,1,0,2,0,1,#NULL!,0,#NULL!,54,3
31,16,1,3,2,2,2,17,45,1,3,3,0,#NULL!,#NULL!,#NULL!,#NULL!,55,2
45,15,1,1,2,2,4,20,50,1,4,3,1,1,50,1,40,56,3
27,16,1,3,1,1,2,15,80,1,3,1,1,1,80,1,40,57,1
28,13,1,1,2,2,2,16,56,1,0,1,0,#NULL!,#NULL!,#NULL!,#NULL!,58,1
