age,educ,sex,degree,satjob,satjob2,income4,rincom91,hrs1,wrkstat,jobinc,impjob,bothft,husbft,husbhr,wifeft,wifehr,id,agecat4
43,11,Male,High school,Mod satisfied,Not very satisfied,"40,000 to 59,999",$35000-39999,35,Working fulltime,THIRD,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,1,40-49
44,16,Male,Bachelor,Very dissatisfied,Not very satisfied,"40,000 to 59,999",$40000-49999,21,Working fulltime,MOST IMPT,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,2,40-49
43,16,Female,Bachelor,Very satisfied,Very satisfied,"40,000 to 59,999",$40000-49999,45,Working fulltime,SECOND,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,3,40-49
55,12,Female,High school,Very satisfied,Very satisfied,"40,000 to 59,999",$25000-29999,35,Working fulltime,MOST IMPT,Very important,Yes,yes,40,yes,35,4,50+
31,18,Male,Graduate,Very satisfied,Very satisfied,"60,000 or more",$60000-74999,50,Working fulltime,SECOND,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,5,30-39
29,18,Female,Graduate,Mod satisfied,Not very satisfied,"25,000 to 39,999",$30000-34999,35,Working fulltime,NAP,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,6,18-29
23,15,Female,High school,Mod satisfied,Not very satisfied,"40,000 to 59,999",$3000-3999,60,Working fulltime,MOST IMPT,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,7,18-29
61,12,Female,High school,Mod satisfied,Not very satisfied,"24,999 or less",$8000-9999,40,Working fulltime,NAP,One of most important,Yes,yes,40,yes,40,8,50+
36,14,Female,High school,A little dissatisfied,Not very satisfied,"24,999 or less",$12500-14999,37,Working fulltime,NAP,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,9,30-39
55,15,Male,High school,Mod satisfied,Not very satisfied,"60,000 or more",REFUSED,40,Working fulltime,NAP,One of most important,No,yes,#NULL!,no,#NULL!,10,50+
55,16,Female,Bachelor,A little dissatisfied,Not very satisfied,"60,000 or more",$22500-24999,38,Working fulltime,THIRD,Very important,Yes,yes,40,yes,38,11,50+
34,16,Male,Bachelor,Mod satisfied,Not very satisfied,"60,000 or more",$75000+,55,Working fulltime,NAP,Very important,No,yes,#NULL!,no,#NULL!,12,30-39
32,16,Male,Bachelor,Mod satisfied,Not very satisfied,"25,000 to 39,999",$15000-17499,32,Working fulltime,NAP,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,13,30-39
49,16,Female,Bachelor,Mod satisfied,Not very satisfied,"25,000 to 39,999",$25000-29999,80,Working fulltime,NAP,One of most important,Yes,yes,80,yes,80,14,40-49
45,16,Female,Bachelor,Mod satisfied,Not very satisfied,"60,000 or more",$60000-74999,50,Working fulltime,FOURTH,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,15,40-49
36,18,Female,Bachelor,Mod satisfied,Not very satisfied,"25,000 to 39,999",$10000-12499,40,Working fulltime,SECOND,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,16,30-39
29,16,Male,Graduate,Mod satisfied,Not very satisfied,"40,000 to 59,999",$50000-59999,50,Working fulltime,THIRD,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,17,18-29
30,14,Female,Junior college,Mod satisfied,Not very satisfied,"25,000 to 39,999",$30000-34999,40,Working fulltime,SECOND,Not too important,No,#NULL!,#NULL!,#NULL!,#NULL!,18,30-39
40,16,Female,Bachelor,A little dissatisfied,Not very satisfied,"25,000 to 39,999",$30000-34999,60,Working fulltime,THIRD,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,19,40-49
26,11,Female,Less than HS,Mod satisfied,Not very satisfied,"25,000 to 39,999",$15000-17499,35,Working fulltime,NAP,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,20,18-29
63,12,Female,High school,A little dissatisfied,Not very satisfied,"24,999 or less",$10000-12499,40,Working fulltime,SECOND,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,21,50+
33,14,Female,High school,Very satisfied,Very satisfied,"60,000 or more",$35000-39999,40,Working fulltime,MOST IMPT,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,22,30-39
34,12,Male,High school,Mod satisfied,Not very satisfied,"25,000 to 39,999",$17500-19999,40,Working fulltime,MOST IMPT,Very important,Yes,yes,40,yes,40,23,30-39
61,16,Female,Bachelor,Very satisfied,Very satisfied,"25,000 to 39,999",$20000-22499,89,Working fulltime,SECOND,One of most important,No,no,#NULL!,yes,#NULL!,24,50+
45,13,Female,High school,Very satisfied,Very satisfied,"60,000 or more",$60000-74999,40,Working fulltime,THIRD,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,25,40-49
31,14,Male,High school,Very satisfied,Very satisfied,"40,000 to 59,999",$40000-49999,60,Working fulltime,SECOND,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,26,30-39
28,18,Male,Graduate,Mod satisfied,Not very satisfied,"25,000 to 39,999",$35000-39999,40,Working fulltime,MOST IMPT,One of most important,No,yes,#NULL!,no,#NULL!,27,18-29
34,18,Female,Graduate,Mod satisfied,Not very satisfied,"40,000 to 59,999",$40000-49999,40,Working fulltime,THIRD,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,28,30-39
45,13,Female,High school,Very satisfied,Very satisfied,"40,000 to 59,999",$40000-49999,20,Working fulltime,FOURTH,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,29,40-49
35,16,Female,Bachelor,Very satisfied,Very satisfied,"40,000 to 59,999",$50000-59999,40,Working fulltime,NAP,Somewhat important,No,#NULL!,#NULL!,#NULL!,#NULL!,30,30-39
48,16,Male,Bachelor,Very satisfied,Very satisfied,"40,000 to 59,999",$50000-59999,20,Working fulltime,SECOND,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,31,40-49
39,19,Male,Graduate,Mod satisfied,Not very satisfied,"40,000 to 59,999",$30000-34999,40,Working fulltime,FOURTH,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,32,30-39
27,15,Female,High school,A little dissatisfied,Not very satisfied,"24,999 or less",$4000-4999,62,Working fulltime,MOST IMPT,Very important,Yes,yes,65,yes,62,33,18-29
36,12,Male,High school,Mod satisfied,Not very satisfied,"24,999 or less",$6000-6999,20,Working fulltime,SECOND,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,34,30-39
42,12,Female,High school,Very satisfied,Very satisfied,"25,000 to 39,999",$30000-34999,50,Working fulltime,SECOND,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,35,40-49
31,16,Female,Bachelor,Mod satisfied,Not very satisfied,"25,000 to 39,999",$15000-17499,40,Working fulltime,SECOND,Very important,No,no,#NULL!,yes,#NULL!,36,30-39
44,16,Female,Bachelor,Mod satisfied,Not very satisfied,"40,000 to 59,999",$20000-22499,40,Working fulltime,NAP,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,37,40-49
39,12,Male,High school,Mod satisfied,Not very satisfied,"40,000 to 59,999",$20000-22499,40,Working fulltime,SECOND,One of most important,Yes,yes,40,yes,40,38,30-39
39,15,Female,High school,Very satisfied,Very satisfied,"60,000 or more",$35000-39999,50,Working fulltime,NAP,One of most important,Yes,yes,50,yes,50,39,30-39
